sats,time,long,lat,velocity,heading,height,vert-vel,GPS-Longacc,turn-radius,Centre-Line-Deviation,AbsHead,Longacc,Latacc,rel-height,value
8,75156.1,118.8107368,31.87070707,73.837,83.79,16.57,-1.656,-0.11,1.00E+03,-4.52E+03,-2076.2,-0.11,-0.19,9.476,safe
9,75729.2,118.8232362,31.87725072,48.012,279.78,13.31,0.288,-0.1,1.00E+03,-6.02E+03,-1520.2,-0.1,-0.05,7.088,safe
9,74818.3,118.8090235,31.8777768,64.795,159.81,12.08,0.576,-0.06,6.07E+02,-2.98E+03,-2000.2,-0.06,0,5.28,safe
6,74717,118.8060721,31.88739958,65.738,171.56,11.61,0.468,0.11,1.00E+03,-3.26E+03,-1988.4,0.11,0,0.993,safe
8,82734.5,118.6697435,31.93487978,73.674,340.98,17.07,0.576,0.13,9.02E+02,1.48E+03,-1099,0.13,-0.05,12.606,safe
9,80107.8,118.7749401,31.87974583,105.956,278.19,30.64,-0.216,-0.1,1.00E+03,-5.30E+03,-1161.8,-0.1,-0.03,23.083,safe
10,83052.2,118.700066,31.9572665,70.127,38.98,13.36,0.72,-0.09,1.00E+03,-9.88E+02,-1041,-0.09,-0.06,12.786,safe
10,80438.8,118.7167754,31.89801432,104.736,322.53,30.96,1.332,-0.04,1.00E+03,-1.02E+03,-1117.5,-0.04,0.05,23.567,safe
10,80557.5,118.701916,31.91225853,98.196,300.62,32.49,-0.864,0.1,1.00E+03,3.86E+02,-1139.4,0.1,0.09,26.271,safe
8,83626,118.7545699,31.96939902,99.665,80.15,29.28,0.54,0.11,1.00E+03,-1.96E+03,-999.85,0.11,0.04,28.434,safe
9,75145.4,118.8083896,31.87049367,79.928,84.13,22.4,-1.44,0.1,1.00E+03,-4.30E+03,-2075.9,0.1,0.09,14.936,safe
10,80848.5,118.682102,31.93726127,54.067,359.98,24.36,1.332,0.01,1.59E+02,2.17E+03,-1080,0.01,0,15.13,safe
6,74751,118.8076415,31.88179602,53.84,164.28,11.9,0.288,-0.22,8.57E+02,-3.11E+03,-1995.7,-0.22,-0.08,3.408,safe
10,83240.9,118.7144476,31.97515093,86.002,54.08,10.33,0.072,-0.15,8.21E+02,-2.35E+03,-1025.9,-0.15,-0.13,7.443,safe
8,73955.4,118.8057883,31.89549683,32.369,264.98,10.46,0.504,-0.08,2.31E+02,-9.18E+02,-1895,-0.08,0.03,0.662,safe
6,74751.9,118.8076846,31.88167528,57.52,162.49,11.85,0.18,0.37,4.74E+02,-3.11E+03,-1997.5,0.37,0.02,3.459,safe
9,75625.3,118.8229117,31.88311057,82.403,88.19,9.96,-0.072,-0.12,1.00E+03,-5.72E+03,-2071.8,-0.12,-0.07,4.291,safe
10,80821.5,118.6838237,31.93325072,82.893,330.65,14.11,-0.108,0.03,1.00E+03,2.06E+03,-1109.4,0.03,0.08,11.319,safe
6,81206.5,118.6770997,31.9364204,7.443,234.05,23.28,-0.144,0.35,1.61E+01,1.83E+03,-1206,0.35,0.1,14.985,safe
8,74036.9,118.8001486,31.89508273,70.282,262.21,11.46,-0.18,-0.35,5.69E+02,-1.45E+03,-1897.8,-0.35,0.11,0.816,safe
9,74848.2,118.81112,31.87426425,73.729,150.14,10.99,-0.936,0.38,2.57E+02,-2.83E+03,-2009.9,0.38,0.22,6.207,safe
8,80737.3,118.6882365,31.92399973,102.99,341.59,25.48,-0.792,0.02,2.27E+02,1.68E+03,-1098.4,0.02,-0.82,19.393,safe
9,80130.5,118.7678234,31.8798886,102.783,267.74,37.48,1.944,0.11,1.00E+03,-5.20E+03,-1172.3,0.11,0.07,29.937,safe
8,82752.1,118.6691028,31.93845362,91.984,3.08,20.58,0.54,0.14,1.00E+03,1.54E+03,-1076.9,0.14,0.03,15.983,safe
7,75506.3,118.8080449,31.88162693,25.196,41.96,13.49,-0.36,0.07,2.71E+01,-4.32E+03,-2118,0.07,-0.1,6.512,safe
9,75525.6,118.8112924,31.88208695,72.278,79.87,11.54,-0.18,-0.16,1.00E+03,-4.62E+03,-2080.1,-0.16,-0.05,4.779,safe
8,83120.9,118.7035288,31.96185683,95.724,32.81,9.76,-1.08,0.13,7.49E+02,-1.31E+03,-1047.2,0.13,0.23,8.695,safe
9,74824.7,118.8094291,31.87694367,44.348,155.66,12.45,0.144,-0.22,1.00E+03,-2.94E+03,-2004.3,-0.22,0.12,6.161,safe
7,74549.8,118.8039231,31.89529902,51.799,89.53,9.16,0.144,0.1,1.92E+02,-3.21E+03,-2070.5,0.1,-0.36,-0.963,safe
10,83448.5,118.7340239,31.97133252,34.308,131.4,30.57,0.72,0.08,3.56E+02,-1.84E+03,-948.6,0.08,0.17,30.303,safe
9,80146.2,118.7631745,31.87981822,95.12,270.93,45.11,1.692,-0.27,1.00E+03,-5.41E+03,-1169.1,-0.27,-0.08,37.747,safe
7,74050.7,118.7971469,31.89459143,74.738,245.05,13.12,0.432,-0.05,1.00E+03,-1.73E+03,-1915,-0.05,0.33,2.706,safe
8,74643.8,118.8055656,31.89268383,78.135,175.83,11.07,0.288,-0.04,1.00E+03,-3.31E+03,-1984.2,-0.04,-0.01,0.204,safe
8,83633.8,118.7567978,31.96973433,94.271,80.26,30.68,0.036,-0.24,1.00E+03,-2.17E+03,-999.74,-0.24,0.08,29.974,safe
9,75910.6,118.8109631,31.87637415,105.738,260.88,18.24,2.196,0.05,1.00E+03,-6.82E+03,-1179.1,0.05,-0.06,11.688,safe
8,74528.5,118.8004958,31.89469413,85.656,86.24,10.97,-0.468,-0.14,1.00E+03,-2.89E+03,-2073.8,-0.14,-0.26,0.15,safe
